codigo_apa,descricao,data_inici,latitude,longitude,morada,codigo_pos,localidade,geometry
ERP1882,EEE - ALDI - Telheiras,2024-05-01,38.769153,-9.166117,"Rua Frederico George, Nº 20",1600-414,Lisboa,POINT (-9.166116999999986 38.76915300000002)
ERP1899,EEE - ALDI - Alta de Lisboa,2024-05-01,38.787157,-9.14564,Rua Hermínio da Palma Inácio 29.02,1750-224,Lisboa,POINT (-9.145640000000014 38.78715699999998)
ERP2007,EEE - Continente - Colombo,2024-05-01,38.754858,-9.190067,"Avenida Lusíada, Centro Comercial Colombo",1500-392,Lisboa,POINT (-9.190066999999999 38.75485800000001)
ERP2010,EEE - Continente - Vasco da Gama,2024-05-01,38.767743,-9.096841,"Avenida D. João II, 1.05.02 - Centro Comercial Vasco da Gama",1990-094,Lisboa,POINT (-9.096840999999984 38.767742999999996)
ERP2033,EEE - Continente - Telheiras,2024-05-01,38.764078,-9.176199,"Avenida das Nações Unidas, 11 A",1600-530,Lisboa,POINT (-9.176198999999997 38.764077999999984)
ERP2127,EEE - Continente Bom dia - Alvalade,2024-05-01,38.755072,-9.142908,"Rua Acácio de Paiva, Nº 22",1700-006,Lisboa,POINT (-9.142907999999977 38.755071999999984)
ERP2141,EEE - Continente Bom dia - Barbosa du Bocage,2024-05-01,38.740559,-9.144613,"Avenida Barbosa du Bocage, Nº 113 a 117",1050-031,Lisboa,POINT (-9.144612999999993 38.74055900000002)
ERP2142,EEE - Continente Bom dia - Benfica,2024-05-01,38.750017,-9.206372,"Rua Olivério Serpa, Lote 1",1500-471,Lisboa,POINT (-9.206371999999988 38.750017000000014)
ERP2152,EEE - Continente Bom dia - Campo Grande,2024-05-01,38.754157,-9.153294,"Campo Grande, Nº 1 - A",1700-086,Lisboa,POINT (-9.153294000000017 38.75415700000002)
ERP2157,EEE - Continente Bom dia - Carlos Mardel,2024-05-01,38.733799,-9.1332,"Rua Carlos Mardel, 4",1900-122,Lisboa,POINT (-9.133199999999988 38.733798999999976)
ERP2345,EEE - Minisom - Avenida da Igreja,2024-05-01,38.753753,-9.141713,"Avenida da Igreja, 19 E/F",1700-231,Lisboa,POINT (-9.141712999999982 38.75375300000002)
ERP2346,EEE - Minisom - Rua Ferreira Borges,2024-05-01,38.717836,-9.163889,"Rua Ferreira Borges, 92 C",1350-134,Lisboa,POINT (-9.163888999999983 38.71783599999998)
ERP2348,EEE - Minisom - Praça de Londres,2024-05-01,38.741288,-9.137166,"Praça de Londres, 6 A",1000-191,Lisboa,POINT (-9.13716599999998 38.741288)
ERP2392,EEE - Minisom - Estrada de Benfica,2024-05-01,38.750666,-9.19928,"Estrada de Benfica, Lote 629 B",1500-087,Lisboa,POINT (-9.199279999999987 38.750666000000024)
ERP2483,EEE - My Auchan - Ferreira Borges,2024-05-01,38.71839,-9.164054,"Rua Ferreira Borges, Nº 125",1350-129,Lisboa,POINT (-9.164054000000021 38.71839)
ERP2497,EEE - Minisom - Lisboa Avenida 5 de Outubro,2024-05-01,38.741068,-9.148655,"Avenida 5 de Outubro, Nº 51",1050-148,Lisboa,POINT (-9.14865500000002 38.741067999999984)
ERP2567,EEE - Fnac Colombo,2024-05-01,38.750049,-9.180691,"Avenida Lusíada, Loja A - 103 - Centro Comercial Colombo",1500-392,Lisboa,POINT (-9.180691000000024 38.75004899999999)
ERP2568,EEE - Fnac Chiado,2024-05-01,38.711005,-9.139443,"Rua do Carmo, 2, Loja 407 - Armazéns do Chiado",1200-094,Lisboa,POINT (-9.139443000000028 38.711005)
ERP2580,EEE - Fnac Vasco da Gama,2024-05-01,38.77388,-9.097519,"Avenida D. João II, Lote 1.05.02 - Loja 2.060A - Centro Comercial Vasco da Gama",1990-094,Lisboa,POINT (-9.097518999999977 38.77388000000002)
ERP2583,EEE - Fnac Aeroporto,2024-05-01,38.752281,-9.133571,"Busgate Norte, Partidas Lado Ar, Loja 1.01",1700-008,Lisboa,POINT (-9.133571000000018 38.75228099999998)
ERP2584,EEE - Fnac Amoreiras,2024-05-01,38.723538,-9.164506,"Avenida Engenheiro Duarte Pacheco - Amoreiras Shopping Center, Loja 1148",1070-103,Lisboa,POINT (-9.164506000000017 38.72353800000002)
ERP2588,EEE - Fnac IST,2024-05-01,38.735321,-9.138433,"Avenida Rovisco Pais, Nº 1 - Instituto Superior Técnico de Lisboa, Espaço 0.15",1049-001,Lisboa,POINT (-9.13843300000002 38.735321)
ERP2589,EEE - Fnac Saldanha,2024-05-01,38.733608,-9.145306,"Praça Duque de Saldanha, Nº 1 - Atrium Saldanha, Loja 1",1050-094,Lisboa,POINT (-9.145306000000005 38.733608000000004)
ERP2599,EEE - PC Clinic Amoreiras,2024-05-01,38.723538,-9.164506,"Avenida Engenheiro Duarte Pacheco - Amoreiras Shopping Center, Loja 1037, Piso 1",1070-103,Lisboa,POINT (-9.164506000000017 38.72353800000002)
ERP2600,EEE - PC Clinic Colombo,2024-05-01,38.750049,-9.180691,"Avenida Lusíada, Loja 0.019 - Piso 0 - Centro Comercial Colombo",1500-392,Lisboa,POINT (-9.180691000000024 38.75004899999999)
